customerID,churn_probability,driver_1,driver_2,driver_3,recommended_action,expected_monthly_loss
9497-QCMMS,0.8554935759143901,tenure,InternetService=Fiber optic,Contract=Month-to-month,Enroll in 90-day onboarding check-in program,80.03
9300-AGZNL,0.8544107134546018,tenure,InternetService=Fiber optic,Contract=Month-to-month,Enroll in 90-day onboarding check-in program,80.31
5178-LMXOP,0.8542800422235808,tenure,InternetService=Fiber optic,Contract=Month-to-month,Enroll in 90-day onboarding check-in program,81.24
4424-TKOPW,0.8513914927192672,tenure,InternetService=Fiber optic,Contract=Month-to-month,Enroll in 90-day onboarding check-in program,79.9
2720-WGKHP,0.8505688198229654,tenure,InternetService=Fiber optic,Contract=Month-to-month,Enroll in 90-day onboarding check-in program,79.95
5567-WSELE,0.8480535654177527,tenure,InternetService=Fiber optic,Contract=Month-to-month,Enroll in 90-day onboarding check-in program,80.23
7024-OHCCK,0.8478387386294549,tenure,InternetService=Fiber optic,Contract=Month-to-month,Enroll in 90-day onboarding check-in program,79.57
5150-ITWWB,0.8465032268488618,tenure,InternetService=Fiber optic,Contract=Month-to-month,Enroll in 90-day onboarding check-in program,80.29
7216-EWTRS,0.8448370075539079,tenure,InternetService=Fiber optic,Contract=Month-to-month,Enroll in 90-day onboarding check-in program,85.16
1374-DMZUI,0.8410693195730006,tenure,InternetService=Fiber optic,Contract=Month-to-month,Enroll in 90-day onboarding check-in program,79.31
8098-LLAZX,0.8371193612440375,tenure,InternetService=Fiber optic,Contract=Month-to-month,Enroll in 90-day onboarding check-in program,79.9
8149-RSOUN,0.8328859090436879,tenure,InternetService=Fiber optic,Contract=Month-to-month,Enroll in 90-day onboarding check-in program,78.17
0295-PPHDO,0.8315825727046235,tenure,InternetService=Fiber optic,Contract=Month-to-month,Enroll in 90-day onboarding check-in program,79.37
4910-GMJOT,0.8308504110376242,tenure,InternetService=Fiber optic,Contract=Month-to-month,Enroll in 90-day onboarding check-in program,78.6
6861-XWTWQ,0.8281470288241958,tenure,InternetService=Fiber optic,Contract=Month-to-month,Enroll in 90-day onboarding check-in program,82.19
7851-WZEKY,0.825454193505948,tenure,InternetService=Fiber optic,Contract=Month-to-month,Enroll in 90-day onboarding check-in program,78.54
3049-SOLAY,0.8241103927492428,tenure,InternetService=Fiber optic,Contract=Month-to-month,Enroll in 90-day onboarding check-in program,78.46
