contract,month,retention_probability
Month-to-month,0,1.0
Month-to-month,1,0.9019354838709666
Month-to-month,2,0.8685713158647337
Month-to-month,3,0.8417230081727618
Month-to-month,4,0.8175050128498966
Month-to-month,5,0.7983233309841447
Month-to-month,6,0.7858348940504861
Month-to-month,7,0.7698756151298826
Month-to-month,8,0.7564380245720602
Month-to-month,9,0.7412958043292921
Month-to-month,10,0.7257296301833199
Month-to-month,11,0.7150936316950445
Month-to-month,12,0.7030966363488644
Month-to-month,13,0.6892664526460961
Month-to-month,14,0.6804493623174757
Month-to-month,15,0.6659966491109621
Month-to-month,16,0.6547832358968269
Month-to-month,17,0.6449430369854153
Month-to-month,18,0.6357295650284808
Month-to-month,19,0.6287769518771098
Month-to-month,20,0.6207557008963952
Month-to-month,21,0.6138939945489775
Month-to-month,22,0.6031403297548981
Month-to-month,23,0.5973455467628572
Month-to-month,24,0.5859154739046663
Month-to-month,25,0.5766965241404322
Month-to-month,26,0.5687965717549469
Month-to-month,27,0.5617273983010134
Month-to-month,28,0.5561380709547346
Month-to-month,29,0.5475468546166075
Month-to-month,30,0.5386484766975947
Month-to-month,31,0.5300790691137696
Month-to-month,32,0.5187202319184743
Month-to-month,33,0.5134938315968774
Month-to-month,34,0.5060909061085871
Month-to-month,35,0.4976910570445439
Month-to-month,36,0.49110396952483704
Month-to-month,37,0.4806549488966491
Month-to-month,38,0.47371129794950645
Month-to-month,39,0.46655793942342333
Month-to-month,40,0.45763248319097527
Month-to-month,41,0.4491734724111053
Month-to-month,42,0.4386459691514699
Month-to-month,43,0.42861456445154034
Month-to-month,44,0.42482151520860606
Month-to-month,45,0.421871365797435
Month-to-month,46,0.41466868394235656
Month-to-month,47,0.4006304212047246
Month-to-month,48,0.397263779009727
Month-to-month,49,0.3856478790386823
Month-to-month,50,0.3757910642389718
Month-to-month,51,0.36812185884633986
Month-to-month,52,0.36145298459187736
Month-to-month,53,0.35284696114921343
Month-to-month,54,0.3453713899384248
Month-to-month,55,0.33590916007709815
Month-to-month,56,0.3307413268451428
Month-to-month,57,0.32134526642340605
Month-to-month,58,0.31310564420742126
Month-to-month,59,0.30434744436945144
Month-to-month,60,0.29715813465993696
Month-to-month,61,0.2889037420304941
Month-to-month,62,0.28583029796634
Month-to-month,63,0.27910487919066146
Month-to-month,64,0.27910487919066146
Month-to-month,65,0.2610981127912639
Month-to-month,66,0.23271788314003955
Month-to-month,67,0.22606880076460992
Month-to-month,68,0.20095004512409773
Month-to-month,69,0.16548827245513925
Month-to-month,70,0.1504438840501266
Month-to-month,71,0.1289519006143942
Month-to-month,72,0.1289519006143942
One year,0,1.0
One year,1,1.0
One year,2,0.9986348122866899
One year,3,0.9986348122866899
One year,4,0.997947047264454
One year,5,0.9972564264704988
One year,6,0.9972564264704988
One year,7,0.9965609896319563
One year,8,0.9958591861181306
One year,9,0.9951534035624126
One year,10,0.9951534035624126
One year,11,0.9944348812493706
One year,12,0.9908082040748656
One year,13,0.9900737280155071
One year,14,0.989331543811598
One year,15,0.989331543811598
One year,16,0.989331543811598
One year,17,0.9878083235747827
One year,18,0.9862563859100931
One year,19,0.9839062912653509
One year,20,0.9839062912653509
One year,21,0.9823103362105818
One year,22,0.9790896465836618
One year,23,0.9782723764279155
One year,24,0.9782723764279155
One year,25,0.9748755973430957
One year,26,0.9748755973430957
One year,27,0.9748755973430957
One year,28,0.9730785916337071
One year,29,0.9730785916337071
One year,30,0.9721465240172004
One year,31,0.9702496527508245
One year,32,0.9692880574557302
One year,33,0.9643926632261558
