decile,n,mean_predicted_uplift,mean_true_effect,simulated_churn_treated,simulated_churn_control
1,705,0.18953939199056016,0.13570212765957446,0.3230769230769231,0.5142857142857142
2,704,0.13724688289230266,0.11710227272727272,0.3732590529247911,0.518840579710145
3,704,0.10980963068674875,0.09732954545454547,0.396969696969697,0.4679144385026738
4,704,0.08667233961159199,0.07653409090909091,0.34946236559139787,0.44879518072289154
5,704,0.06597111733609397,0.05556818181818182,0.239067055393586,0.2659279778393352
6,705,0.0465745341765281,0.04395744680851065,0.16119402985074627,0.22972972972972974
7,704,0.02881887796907946,0.036647727272727276,0.07967032967032966,0.11764705882352941
8,704,0.015370313930319608,0.03187500000000001,0.052486187845303865,0.038011695906432746
9,704,0.007615878611282364,0.03068181818181819,0.013774104683195593,0.03519061583577713
10,705,-5.861334557833442e-05,0.03085106382978724,0.0480225988700565,0.04843304843304843
